来法国生活时长,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,文化保持,社会保持,文化接触,社会接触,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭沟通频率,沟通坦诚度,自主性,自主性,社会联结感,社会联结感,社会联结感,社会联结感,社会联结感,开放性
48,3,4,3,3,4,4,2,2,2,4,7,5,4,5,4,3,5,4,2,4,2,3,4,5,4,4,6,6,5,6
27,4,2,3,4,4,2,3,3,1,4,7,5,3,5,3,4,5,5,5,3,3,5,3,3,6,3,6,5,4,4
22,3,4,3,1,1,1,1,1,1,1,3,3,2,1,4,1,2,3,2,5,1,2,5,5,1,3,6,2,1,6
18,4,4,4,4,2,1,3,4,4,4,5,5,3,2,4,4,3,5,4,4,3,5,5,5,6,6,3,5,6,1
6,2,1,3,3,3,4,4,4,6,5,4,1,3,3,5,5,5,3,3,5,3,1,4,5,5,4,4,3,3,5
29,4,2,2,3,2,1,3,1,3,4,1,2,2,3,2,2,3,3,1,1,3,2,3,2,1,2,1,6,5,4
4,3,2,3,3,1,1,3,4,7,5,3,2,5,1,5,5,5,5,4,4,4,4,3,4,2,3,1,3,2,4
4,3,4,3,2,4,2,2,4,7,7,1,3,5,4,4,5,3,3,1,2,4,5,5,5,5,4,3,3,1,5
3,3,1,4,4,1,1,3,2,5,6,1,2,5,4,5,4,4,3,4,3,4,3,4,5,5,4,2,3,2,4
30,4,4,3,3,1,4,3,3,5,2,4,6,4,5,4,4,4,5,4,4,5,2,3,3,4,6,3,4,2,7
6,3,2,3,3,2,3,1,4,6,4,2,2,3,4,3,4,3,3,5,5,3,3,3,3,2,4,4,4,1,7
35,1,2,4,4,1,2,1,1,3,3,5,4,5,3,2,2,2,3,3,3,1,3,5,4,5,3,3,2,6,5
3,2,3,3,3,3,3,3,3,6,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5
6,2,3,2,3,3,4,2,4,6,6,2,2,4,5,5,5,3,3,4,3,3,4,3,3,2,1,2,1,3,4
38,3,3,4,4,4,4,3,4,4,4,4,5,3,4,5,5,4,3,5,5,4,4,3,1,6,5,5,6,6,4
26,2,2,3,3,3,2,3,3,6,6,5,4,4,4,4,3,4,4,4,4,4,3,5,4,4,5,5,4,5,5
15,1,3,1,2,2,3,4,4,5,4,3,5,4,5,2,5,4,5,4,3,1,2,4,3,4,4,5,5,3,4
4,3,1,2,3,4,2,1,1,7,5,2,2,2,5,5,1,1,5,2,5,5,3,2,2,6,3,3,2,2,5
37,4,4,4,4,4,4,2,3,4,6,6,5,4,5,4,4,5,4,5,3,5,3,3,3,5,5,6,6,3,4
2,3,4,1,2,2,4,2,4,6,6,2,5,3,2,5,5,1,2,4,5,3,2,4,3,4,2,1,1,4,6
33,4,4,3,4,3,4,3,4,4,5,6,7,5,5,4,4,4,5,5,4,3,3,3,3,5,5,3,6,4,2
3,1,1,2,4,1,4,3,4,7,4,2,3,5,2,3,5,4,3,4,5,5,5,4,2,3,2,3,3,1,6
3,1,1,2,1,3,4,2,3,5,5,1,3,4,4,5,3,3,5,2,4,5,5,5,5,3,4,2,4,4,6
20,2,3,3,2,1,4,3,3,6,5,6,4,3,4,1,3,3,5,5,5,4,2,3,3,4,4,3,5,3,6
22,1,1,1,2,1,3,2,1,5,1,2,2,2,2,1,1,1,1,1,2,1,3,4,3,3,2,4,1,1,6
38,3,2,1,2,2,1,4,4,7,3,1,5,3,3,3,5,2,3,3,5,4,3,4,4,3,4,4,4,4,5
36,4,4,1,4,1,4,2,4,5,4,4,7,5,5,4,4,4,4,5,3,4,3,4,3,6,4,5,2,6,5
46,4,2,2,1,4,4,2,4,4,1,4,5,3,1,4,4,4,2,5,4,1,2,2,1,2,4,5,6,5,6
48,3,1,3,2,1,1,4,4,3,5,5,5,3,3,5,5,2,3,4,3,3,2,3,3,4,6,2,4,2,4
26,4,4,3,4,4,4,4,4,4,5,4,5,5,4,2,5,4,4,5,4,4,5,3,3,4,4,4,6,4,3
29,3,3,4,1,4,4,4,4,5,4,3,5,5,4,4,5,5,4,1,5,4,4,3,3,6,2,4,4,6,7
47,4,4,3,2,4,3,2,4,5,7,5,7,5,5,4,5,5,5,5,4,5,5,5,5,5,5,6,4,4,3
47,3,3,2,4,1,2,3,4,4,2,3,4,2,4,2,5,1,1,2,3,3,1,3,2,5,4,4,4,5,7
35,4,3,1,4,2,3,3,4,6,5,6,6,3,5,4,5,4,5,4,4,3,5,4,2,6,2,4,4,6,3
47,4,4,1,4,3,4,3,4,5,6,4,6,5,2,4,5,1,4,4,5,5,3,3,3,6,3,6,4,3,6
12,1,2,4,3,3,2,1,4,5,3,5,3,1,5,4,5,2,2,4,1,2,5,5,4,3,4,6,3,3,6
13,3,4,2,3,4,3,4,4,5,6,7,6,4,4,4,5,2,5,5,3,4,5,3,3,6,2,6,4,5,3
14,2,2,1,1,2,2,1,2,1,2,3,1,4,2,3,2,1,1,3,2,2,3,4,3,3,1,4,3,3,7
7,2,2,2,1,4,3,4,3,7,5,1,1,2,5,3,4,5,5,3,5,4,5,3,4,1,1,4,2,5,6
24,4,2,4,4,3,4,2,4,5,5,5,6,5,4,4,5,5,3,3,5,4,3,4,4,6,6,5,5,4,4
36,4,4,4,2,4,1,1,3,5,4,5,3,4,5,5,3,3,5,4,5,4,4,3,3,5,6,5,5,5,5
17,1,2,1,1,3,3,1,4,5,5,3,4,4,4,3,4,4,2,1,2,1,5,2,3,3,2,3,1,1,6
26,1,2,1,1,3,2,4,2,1,3,1,4,2,3,4,2,3,2,1,5,4,3,3,4,2,2,2,2,2,5
26,3,4,2,3,1,2,3,3,3,2,4,4,3,2,4,4,2,5,5,4,4,4,5,5,6,3,4,4,5,1
37,4,4,3,3,4,2,2,4,2,5,4,6,4,4,3,5,4,3,5,3,5,4,3,4,3,3,4,2,4,3
17,3,2,2,3,4,4,4,4,5,3,6,7,2,3,5,5,4,3,5,4,4,4,4,4,5,5,6,4,4,4
44,4,2,4,2,4,4,4,4,3,3,4,7,4,3,4,5,5,4,3,4,4,2,3,3,4,1,5,6,5,5
24,4,2,3,3,2,4,1,4,5,5,4,5,5,3,5,5,2,5,3,5,3,5,3,4,4,3,6,1,5,6
21,1,1,3,1,1,1,2,1,3,1,4,1,3,2,1,1,4,2,1,3,3,2,3,3,3,2,1,1,1,2
15,3,4,1,3,4,2,1,2,2,5,4,5,3,5,3,2,5,2,5,5,1,2,3,1,4,1,4,4,4,5
36,3,2,4,3,3,4,4,4,2,5,7,4,5,5,4,5,2,5,3,4,2,4,3,1,3,6,4,6,6,4
17,3,3,4,3,4,4,2,1,7,4,6,4,3,4,5,3,5,5,4,5,4,3,4,3,5,4,6,4,3,3
5,2,3,2,3,3,3,3,3,5,4,5,4,3,3,3,3,2,2,2,2,3,3,4,4,3,3,3,2,2,5
