feature,linear_r2,linear_coef,linear_p,quad_r2,quad_coef,quad_p,quad2_coef,quad2_p,full_coef,full_p,full_quad_coef,full_quad_p,full_quad2_coef,full_quad2_p
文化接触,0.41980082822323705,2.641271470237459,1.3873273164247102e-13,0.41990339814968236,2.648642723708716,3.1440212148130885e-13,0.02748360269772296,0.8944828186952043,1.1156576491686516,0.003908184776001852,1.1335539160932384,0.0037688642938150615,0.06783331858181539,0.6885066555975902
社会联结感,0.3503701588639083,2.412986820555677,4.5558762894996076e-11,0.3520444138635782,2.333701000604455,4.5486332828894825e-09,-0.14099052959121433,0.6123476834955471,1.1630801931349,0.00031002300300873945,1.076749959542491,0.0019995317990993684,-0.14315817282887572,0.5171808851611367
家庭支持,0.3249238015160968,2.323711234409923,3.2867361166614205e-10,0.32857850488803375,2.193428602053255,7.61353326142087e-08,-0.14299416211463212,0.4623743029982782,0.9865399186436759,0.004741704558796748,1.048114700074724,0.004144430739605339,0.09438892306231772,0.5398141673091504
社会接触,0.3154166761324524,2.289463479381985,6.754129722885111e-10,0.32335885346435334,2.361509561794039,4.634340987841729e-10,0.31594561298837287,0.28123430503941904,0.7743370223823759,0.03436279183711899,0.787358222341821,0.03411903337518247,0.05579467676569394,0.8004490233755285
社会保持,0.1551644191281647,1.605785251528124,3.8437499024076535e-05,0.1590289385874082,1.7726630688805414,0.00014036257503725026,0.20790558187599378,0.49940893329875186,-0.2122503931525518,0.5442956190029303,-0.1489131477286704,0.701728072142609,0.07921600069352386,0.7031281644042008
文化保持,0.1436779146220899,1.5452060602583177,7.868536378480719e-05,0.1701717936006657,0.9869531466681671,0.044630037976772674,-0.5363391662111318,0.07699804537134121,0.43186510548006973,0.24664918316688753,0.3734097431585701,0.3814482527209176,-0.05852867355907082,0.7752557646583531
家庭沟通频率,0.13843228138422448,1.5167363072073683,0.00010890037773635706,0.13864083049797915,1.5146483418729297,0.00012113594667555245,0.047977958889921235,0.8766612998974747,0.5638462597458908,0.09297940748304452,0.5414831633035916,0.1054294304642504,0.2748661659510885,0.18208770910893873
自主权,0.1107530231646372,1.3566542812771853,0.0005931232390877192,0.15392823869281014,0.9188672782709332,0.03183717387157731,-0.4662779510974507,0.026055026845452016,0.2420659094031256,0.3980587884784619,0.21455914485003733,0.49795638793430297,-0.031088276631578704,0.8347408687886845
开放性,0.09730306399387278,1.2716121031084016,0.0013385546834691756,0.1310116358950929,1.5870262533431063,0.00020956464605016375,0.46960534476604443,0.05165850932088556,0.18735299535872166,0.49977596159047033,0.42333045553765214,0.14436349516335295,0.3727431015391684,0.019771091878916496
沟通坦诚度,0.08936246475068954,1.2186218595373175,0.0021600301075613707,0.0920108874364064,1.2107224443015183,0.00240317527924136,-0.14261692913460328,0.5903466854612652,-0.2374361406967497,0.4617889620576848,-0.23586620625479213,0.4662183365276389,0.11330304776542174,0.5217521509045092
来港时长,0.005304572389852824,0.29690436673405074,0.46470592444491443,0.008483251969294892,0.6275566874313113,0.3796811501625479,-0.15836050972332552,0.572523225169892,-0.31290924234262724,0.25329662282090537,-0.015752214917289176,0.9732312435639567,-0.13640332646656111,0.4368173185061373
