interaction,f1,f2,f3,coef,pval,r2,abs_coef
社会接触×家庭支持×自主权,社会接触,家庭支持,自主权,0.08494197234433531,0.5896024185250248,0.6937476385896872,0.08494197234433531
文化接触×社会接触×开放性,文化接触,社会接触,开放性,0.07698876501444135,0.6496134772413761,0.6930936383381971,0.07698876501444135
自主权×社会联结感×家庭沟通频率,自主权,社会联结感,家庭沟通频率,0.06784800535826711,0.5925711372188397,0.7092512992304205,0.06784800535826711
文化接触×社会联结感×开放性,文化接触,社会联结感,开放性,-0.0663669546105573,0.7820323662806733,0.6987209844150879,0.0663669546105573
沟通坦诚度×自主权×社会联结感,沟通坦诚度,自主权,社会联结感,0.05818578102143834,0.6534571257120919,0.6968022695704892,0.05818578102143834
文化接触×社会接触×社会联结感,文化接触,社会接触,社会联结感,0.05176699247483044,0.7697964367714455,0.68020379143003,0.05176699247483044
社会接触×自主权×开放性,社会接触,自主权,开放性,0.047435674574340156,0.8677270701792071,0.6962851308761606,0.047435674574340156
沟通坦诚度×自主权×家庭沟通频率,沟通坦诚度,自主权,家庭沟通频率,-0.036765423092672306,0.7683083906059984,0.6980890108966029,0.036765423092672306
文化接触×开放性×家庭沟通频率,文化接触,开放性,家庭沟通频率,-0.03219045294214817,0.9051068430758155,0.7087110758539679,0.03219045294214817
文化接触×家庭支持×开放性,文化接触,家庭支持,开放性,-0.03148944623095318,0.8802071410224874,0.6991070185123394,0.03148944623095318
文化接触×自主权×开放性,文化接触,自主权,开放性,0.025003059976390962,0.9179480555973969,0.7016423253721298,0.025003059976390962
自主权×社会联结感×开放性,自主权,社会联结感,开放性,-0.005874123109499307,0.9813515787826872,0.6869602053728173,0.005874123109499307
沟通坦诚度×开放性×家庭沟通频率,沟通坦诚度,开放性,家庭沟通频率,2.067192744509283e-05,0.9999241705693753,0.6819781563210146,2.067192744509283e-05
