feature1,feature2,feature3,feature1_cn,feature2_cn,feature3_cn,r2,r2_improvement,coefficient
communication_honesty,family_support,social_maintenance,沟通坦诚度,家庭支持,社会保持,0.7296865393564467,0.016554878926926753,0.21598053245874416
family_support,social_contact,cultural_contact,家庭支持,社会接触,文化接触,0.7296202619895187,0.01648860155999876,0.3551734495788367
social_connectedness,family_support,social_maintenance,社会联结感,家庭支持,社会保持,0.7295661941940285,0.01643453376450854,0.24085630209122066
cultural_maintenance,family_communication_frequency,cultural_contact,文化保持,家庭沟通频率,文化接触,0.7295568933084361,0.016425232878916174,0.34126171648845915
social_connectedness,communication_honesty,cultural_maintenance,社会联结感,沟通坦诚度,文化保持,0.729526067355704,0.016394406926184102,0.24805683436101617
months_in_hk,autonomy,social_maintenance,来港时长,自主权,社会保持,0.7294631839428869,0.016331523513366974,0.7126539115736282
autonomy,cultural_maintenance,family_communication_frequency,自主权,文化保持,家庭沟通频率,0.7290654075043866,0.015933747074866722,0.21671881463116127
social_connectedness,cultural_maintenance,family_communication_frequency,社会联结感,文化保持,家庭沟通频率,0.7288592643094549,0.015727603879934993,0.31151420097382077
family_support,family_communication_frequency,social_maintenance,家庭支持,家庭沟通频率,社会保持,0.7284673739086154,0.015335713479095459,0.27612660523666427
communication_honesty,autonomy,family_communication_frequency,沟通坦诚度,自主权,家庭沟通频率,0.7284663557214803,0.01533469529196041,0.23702373311154318
months_in_hk,openness,family_communication_frequency,来港时长,开放性,家庭沟通频率,0.7279170409850579,0.014785380555538019,0.6314027167362375
social_connectedness,autonomy,family_communication_frequency,社会联结感,自主权,家庭沟通频率,0.7276796045050464,0.014547944075526509,0.23141482840757444
months_in_hk,social_connectedness,social_maintenance,来港时长,社会联结感,社会保持,0.7272529802945402,0.014121319865020299,-0.6011021273482767
communication_honesty,family_support,social_contact,沟通坦诚度,家庭支持,社会接触,0.7272249555329929,0.014093295103473014,0.24112415576930013
social_connectedness,family_communication_frequency,social_maintenance,社会联结感,家庭沟通频率,社会保持,0.7270390075631228,0.013907347133602865,0.3522482318455504
communication_honesty,social_contact,family_communication_frequency,沟通坦诚度,社会接触,家庭沟通频率,0.7267128117807324,0.013581151351212517,0.2720454376405946
cultural_maintenance,openness,cultural_contact,文化保持,开放性,文化接触,0.7263296371786545,0.013197976749134588,-0.2382459948186137
communication_honesty,social_contact,social_maintenance,沟通坦诚度,社会接触,社会保持,0.7258999921224245,0.012768331692904589,0.3323479213793914
social_connectedness,autonomy,social_contact,社会联结感,自主权,社会接触,0.7258437274606753,0.01271206703115535,0.27536895314489707
family_support,social_contact,social_maintenance,家庭支持,社会接触,社会保持,0.7257600803123975,0.01262841988287755,0.2495502047692985
months_in_hk,autonomy,cultural_maintenance,来港时长,自主权,文化保持,0.7257443432777793,0.012612682848259338,0.42322580786687664
social_connectedness,communication_honesty,family_communication_frequency,社会联结感,沟通坦诚度,家庭沟通频率,0.7254893379042227,0.012357677474702733,0.2625704608925916
months_in_hk,autonomy,openness,来港时长,自主权,开放性,0.7252802394492797,0.012148579019759742,-0.4883408832651176
social_connectedness,family_support,cultural_maintenance,社会联结感,家庭支持,文化保持,0.7252394672579456,0.012107806828425716,0.17513130429143545
autonomy,cultural_contact,social_maintenance,自主权,文化接触,社会保持,0.7248431205005641,0.011711460071044177,0.22825606575498575
communication_honesty,family_communication_frequency,cultural_contact,沟通坦诚度,家庭沟通频率,文化接触,0.7248119121009962,0.011680251671476238,0.24643859391902553
social_contact,family_communication_frequency,cultural_contact,社会接触,家庭沟通频率,文化接触,0.7240224465859739,0.010890786156454002,0.306180019096055
months_in_hk,communication_honesty,social_maintenance,来港时长,沟通坦诚度,社会保持,0.7239617158144123,0.010830055384892345,0.6158677348508372
social_contact,cultural_maintenance,openness,社会接触,文化保持,开放性,0.7239325560182142,0.010800895588694237,-0.2681931906136157
months_in_hk,family_communication_frequency,cultural_contact,来港时长,家庭沟通频率,文化接触,0.7238155866120897,0.010683926182569747,0.623633176292061
openness,family_communication_frequency,cultural_contact,开放性,家庭沟通频率,文化接触,0.7235985575740821,0.01046689714456217,-0.4077238117167283
communication_honesty,social_contact,cultural_maintenance,沟通坦诚度,社会接触,文化保持,0.7235753860698101,0.010443725640290169,0.2390018545192637
social_connectedness,autonomy,cultural_maintenance,社会联结感,自主权,文化保持,0.7230166352963642,0.009884974866844254,0.14692610238059356
months_in_hk,cultural_contact,social_maintenance,来港时长,文化接触,社会保持,0.7227689143899645,0.00963725396044457,-0.44319604289269754
social_connectedness,family_support,family_communication_frequency,社会联结感,家庭支持,家庭沟通频率,0.7225902380746388,0.009458577645118926,0.21029313158364082
months_in_hk,social_contact,openness,来港时长,社会接触,开放性,0.7221142649899488,0.008982604560428875,0.339933819981471
autonomy,family_communication_frequency,social_maintenance,自主权,家庭沟通频率,社会保持,0.7218711083599747,0.00873944793045478,0.18786027152950313
