特征,SHAP重要性
social_connectedness,0.7325364445749496
social_contact,0.6752778643911467
cultural_contact,0.638471968680921
openness,0.3474305776377108
family_support,0.33579845454132323
cultural_maintenance,0.14387000269316846
months_in_hk,0.12935734318531517
family_communication_frequency,0.10810377742279269
communication_honesty,0.03623143944470451
social_maintenance,0.027281056625620928
autonomy,0.011603914674093885
