,来法国生活时长,跨文化适应程度,文化保持,社会保持,文化接触,社会接触,家庭支持,家庭沟通频率,沟通坦诚度,自主权,社会联结感,开放性
count,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0
mean,23.03614457831325,22.570281124497992,4.718875502008032,4.534136546184739,4.096385542168675,4.132530120481928,29.313253012048193,3.3654618473895583,3.281124497991968,7.112449799196787,18.85542168674699,4.943775100401607
std,13.26720956312653,4.479802379138416,1.6317431866503032,1.58872011704775,1.7776465356185351,1.7327799150406062,5.411146748454289,1.0734008583806796,1.1186132059827658,1.86743247667202,4.779321714563896,1.3216754570363893
min,2.0,11.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,3.0,8.0,1.0
25%,12.0,20.0,4.0,4.0,3.0,3.0,27.0,3.0,3.0,6.0,15.0,4.0
50%,22.0,23.0,5.0,5.0,4.0,4.0,31.0,3.0,3.0,7.0,19.0,5.0
75%,34.0,26.0,6.0,6.0,5.0,5.0,33.0,4.0,4.0,8.0,22.0,6.0
max,48.0,32.0,7.0,7.0,7.0,7.0,40.0,5.0,5.0,10.0,30.0,7.0
