特征,重要性
cultural_contact,0.25290918
family_support,0.21568035
social_contact,0.13537022
social_connectedness,0.10830981
months_in_france,0.060374428
communication_honesty,0.056645345
family_communication_frequency,0.042378154
cultural_maintenance,0.0411955
openness,0.03526417
autonomy,0.03429766
social_maintenance,0.01757512
